Input,Heuristica 0,MetaH0,Tiempo Tot0,Heuristica 1,MetaH1,Tiempo Tot1,Heuristica 2,MetaH2,Tiempo Tot2
instances/gap/gap_e/e801600,931184,24000,2781,776391,24364,2623,676425,24043,2257
instances/gap/gap_e/e401600,1.01222e+06,30200,2657,950492,30505,2776,891993,30020,2536
