Input,Heuristica 0,MetaH0,Tiempo Tot0,Heuristica 1,MetaH1,Tiempo Tot1,Heuristica 2,MetaH2,Tiempo Tot2
instances/gap/gap_e/e05100,23799,4714,0,27003,4743,0,63516,4735,0
instances/gap/gap_e/e05200,57228,10113,4,84420,10192,4,120105,10122,2
instances/gap/gap_e/e10100,24261,3092,0,31405,3132,0,45344,3092,0
instances/gap/gap_e/e10200,61811,6614,3,69502,6658,3,71516,6636,3
instances/gap/gap_e/e10400,249218,13269,34,279669,13239,34,249207,13186,39
instances/gap/gap_e/e20100,3791,2360,0,5895,2337,0,23951,2395,0
instances/gap/gap_e/e20200,54165,4977,4,54624,4991,5,65519,4955,7
instances/gap/gap_e/e20400,232167,9951,41,274241,10001,40,259264,9916,38
